pos,decoy,non_decoy
-50,0.02079445481205012,0.017330604205688688
-49,0.03199146894161557,0.029186861567574874
-48,0.04212210077312717,0.04036727364010273
-47,0.053585710477206075,0.0517600942321432
-46,0.06238336443615036,0.06241913993859463
-45,0.07198080511863503,0.07257612914437986
-44,0.06798187150093309,0.0725471643462645
-43,0.0671820847773927,0.07189062892231642
-42,0.06611570247933884,0.07211269237453415
-41,0.06451612903225806,0.07202579798018807
-40,0.06878165822447348,0.07147546681599629
-39,0.07064782724606772,0.07175545986444475
-38,0.06824846707544655,0.07157201614304748
-37,0.06744868035190615,0.07187131905690618
-36,0.06744868035190615,0.07133064282541951
-35,0.07011463609704079,0.0718809739896113
-34,0.0663822980538523,0.071533396412227
-33,0.06878165822447348,0.07144650201788094
-32,0.06958144494801387,0.0706161778052407
-31,0.0693148493735004,0.07090582578639427
-30,0.07251399626766196,0.07108926950779153
-29,0.07118101839509464,0.07129202309459903
-28,0.06878165822447348,0.07050031861277926
-27,0.06185017328712343,0.06989205785235678
-26,0.05998400426552919,0.0691486280340626
-25,0.060250599840042655,0.06773900785911523
-24,0.05571847507331378,0.06791279664780736
-23,0.054385497200746466,0.06692799351188522
-22,0.05545187949880032,0.06698592310811594
-21,0.05865102639296188,0.06697626817541082
-20,0.060250599840042655,0.06664800046343677
-19,0.06371634230871767,0.06678316952130843
-18,0.06264996001066382,0.06619421862629618
-17,0.061050386563583046,0.0660011199721938
-16,0.05518528392428686,0.06483287311487439
-15,0.05865102639296188,0.0635680769305038
-14,0.05785123966942149,0.06328808388205534
-13,0.05385230605171954,0.06301774576631201
-12,0.05278592375366569,0.06282464711220963
-11,0.05785123966942149,0.06334601347828606
-10,0.059450813116502264,0.06330739374746558
-9,0.05865102639296188,0.06313360495877343
-8,0.05758464409490802,0.060034371560430226
-7,0.053585710477206075,0.0545986444474482
-6,0.05545187949880032,0.05421244713924344
-5,0.08024526792855238,0.07432367196400641
-4,0.09330845107971207,0.0769015389962732
-3,0.1306318315115969,0.10770077432560295
-2,0.256198347107438,0.41551933883020836
-1,0.3567048786990136,0.506246741460212
0,0.41615569181551587,0.5919053044200282
1,0.4030925086643562,0.5817772800123583
2,0.40522527326046387,0.5804738640971673
3,0.3870967741935484,0.5726823334041362
4,0.3225806451612903,0.4272018074034024
5,0.2751266328978939,0.31523355282213683
6,0.20901093041855506,0.17035163264912043
7,0.19328179152226074,0.139822735435534
8,0.1855505198613703,0.14484330044219593
9,0.17861903492402026,0.12770579489060963
10,0.17408691015729139,0.12150732809392319
11,0.18741668888296453,0.1257265336860602
12,0.19674753399093575,0.12868094309382663
13,0.20341242335377233,0.1317994863575801
14,0.21034390829112237,0.13502423388108986
15,0.2244734737403359,0.13807519261590748
16,0.2375366568914956,0.13977446077200842
17,0.24020261263663023,0.14049858072489235
18,0.24873367102106106,0.14080753857145617
19,0.25673153825646494,0.14074960897522545
20,0.26632897893894963,0.14201440515959604
21,0.2655291922154092,0.1438681522389789
22,0.2615302585977073,0.1452488076158109
23,0.2655291922154092,0.14535501187556724
24,0.26899493468408425,0.14608878676115628
25,0.2753932284724074,0.1474211674744627
26,0.2700613169821381,0.14775909011914187
27,0.2727272727272727,0.1474597872052832
28,0.27459344174886696,0.1472087589549501
29,0.2767262063449747,0.14866665379342306
30,0.27752599306851505,0.14803908316759032
31,0.27192748600373234,0.147363237878232
32,0.28045854438816314,0.146552223531002
33,0.27885897094108236,0.14505570896170852
34,0.2785923753665689,0.1441288354220171
35,0.2751266328978939,0.1434047154691332
36,0.2721940815782458,0.14257439125649293
37,0.27166089042921887,0.141280630274007
38,0.2625966408957611,0.1406240948500589
39,0.2577979205545188,0.14055651032112307
40,0.25513196480938416,0.13975515090659818
41,0.25246600906424954,0.13822001660648425
42,0.2529992002132765,0.13825863633730473
43,0.2516662223407091,0.13893448162666305
44,0.24153559050919754,0.1370807345472802
45,0.2079445481205012,0.11798327765655474
46,0.17488669688083178,0.09896306022747021
47,0.14262863236470275,0.07935389190337343
48,0.10077312716608905,0.05819027941375249
49,0.05785123966942149,0.035964624326568446
